emotion,context,response
anxious,"لقد ارتكبت خطأ في العمل. إذا عرف الناس حقي ، فلن يحبونني.",ربما يتعلق هذا الفكر بموقف يصف فيه الشخص نفسه / نفسه أثناء الإصابة بالاكتئاب أو شيء من هذا القبيل
embarrassed,"خارج التسوق ، التقى وصديق المدرسة القديمة. قال إنه سمع أنني مريض. سوف يسألونني أسئلة محرجة ولن أعرف ماذا أقول - سيعتقدون أنني أحمق تمامًا.","أنا قلق من أنهم سيطرحون عليّ أي نوع من الأسئلة ، فأنا مرتبك قليلاً فيما سأقوله ، ولا أريد أن أبدو غبيًا."
embarrassed,"خارج التسوق ، التقى وصديق المدرسة القديمة. قال إنه سمع أنني مريض. سوف يسألونني أسئلة محرجة ولن أعرف ماذا أقول - سيعتقدون أنني أحمق تمامًا.","أولاً سوف أحييه ودودًا وليس محرجًا وسأسأله بالضبط عما تعلمه عن صحتي ، وبمجرد أن أعرف ما يعرفه بالضبط ، سأبلغه لأنه ليس شيئًا فظيعًا عندما تشارك مشكلة صحية مع أحد معارفك او صديقك"
embarrassed,"خارج التسوق ، التقى وصديق المدرسة القديمة. قال إنه سمع أنني مريض. سيخبرون الجميع كم أنا غبي. هذا فظيع ، لا يمكنني التأقلم.","سيقولون إنني لست بخير ، هذا وضع مزعج ، أشعر بالقلق من شعوري."
embarrassed,"خارج التسوق ، التقى وصديق المدرسة القديمة. قال إنه سمع أنني مريض. سيخبرون الجميع كم أنا غبي. هذا فظيع ، لا يمكنني التأقلم.","ليس سيئًا أن تبلغ شخصًا ما ولا يستطيع أن يقول أي شيء سيئ دون أن يعرف ذلك على وجه اليقين ، لذلك لن أشعر بالحرج أو الغباء من ناحية أخرى سأشعر بسعادة كبيرة وسأتحدث معه بوضوح لمعرفة الأسباب الحقيقية."
depressed,عدت إلى السرير. لم أفعل أي شيء هذا الصباح ولا فائدة من فعل أي شيء. أنا كسول جدا وعديم الفائدة. لا أستطيع حتى أن أرتدي ملابسي!,"أحيانًا تكون هناك أيام لا أستطيع فيها فعل أي شيء ، فكوني كسولًا لا يساعدني ، بل أشعر بعدم الجدوى."
angry,دفعت شاحنة أمامي في طريقها إلى السوبر ماركت. اللقيط المهمل! لقد فعل ذلك عن قصد.,يمكن أن يتسبب في وقوع حادث.
angry,دفعت شاحنة أمامي في طريقها إلى السوبر ماركت. اللقيط المهمل! لقد فعل ذلك عن قصد.,على الأرجح أنه لم يراك ولم ينتبه.
depressed,يتلقى جايسون تقييمًا سلبيًا في العمل. لا أستطيع فعل أي شيء بشكل صحيح. أراهن أنني سأطرد بسبب هذا!,"بالطبع يمكنك القيام بشيء صحيح ، هل كان عليك التقدم لهذه الوظيفة وإجراء مقابلة أو اثنتين بينما تتمتع بتاريخ عمل قوي لإقناع أرباب العمل الجدد؟ نعم كنت اعتقد ذلك. أنت فقط تجد الأمر صعبًا بعض الشيء مع بعض المهام الجديدة ، فقد قضى الجميع يومهم الأول في هذه الوظيفة وستتعلم وستصبح أكثر راحة قبل أن تعرف ذلك. لا معنى للقلق من طردك ، فهو خارج عن إرادتك إذا فعلت ذلك أو لم تفعل في نهاية اليوم."
depressed,يتلقى جايسون تقييمًا سلبيًا في العمل. لا أستطيع فعل أي شيء بشكل صحيح. أراهن أنني سأطرد بسبب هذا!,يجب أن أكون أكثر تركيزًا وأن أحسن مهاراتي.
angry,تتجادل شيرلي مع صديق مقرب. نحن دائما نجادل! لماذا لا تستطيع أن ترى جانبي؟ هذا غير عادل جدا.,"على الرغم من أننا نجادل ، إلا أنه ليس كل الوقت. أحاول أن أرى جانبك. سأحاول أصعب. هل ستحاول رؤية جانبي أكثر أيضًا؟ دعنا نحاول شرح أفكارنا ومشاعرنا وراء هذه الحجة لبعضنا البعض. أنا أتفهم أن الأمر غير عادل ، لذلك دعونا نعمل على جعل الأمر مختلفًا. هل تريد تجربة كل هذا معي؟"
angry,تتجادل شيرلي مع صديق مقرب. نحن دائما نجادل! لماذا لا تستطيع أن ترى جانبي؟ هذا غير عادل جدا.,"غالبًا ما يتجادل الناس مع بعضهم البعض. أعلم من التجربة أنه كلما اقتربت من شخص ما ، زاد تشاجرنا ، لكننا نتحدث دائمًا مع بعضنا البعض بعد ذلك. من المحتمل أن شيرلي لم تكن واضحة بشأن ما قصدته وأن صديقتها لم تفهمها. يجب أن تهدأ وتتحدث مع صديقتها عن ذلك."
angry,جرّني سائق آخر واضطررت إلى الاصطدام بالمكابح بسرعة. يا له من أخرق! إنهم لا يهتمون بأي شخص سوى أنفسهم. كان من الممكن أن أتحطم.,"سأصاب بالجنون إذا كان أحدهم لا يراقب الطريق بشكل صحيح ويسبب خطرًا ، لكن في النصف الآخر لا أعرف ما الذي يمر به هذا الشخص. ربما يقود السائق الآخر زوجته إلى المستشفى أو شيء من هذا القبيل. لا ينبغي أن نحكم حقًا على شخص ما إذا كنا لا نعرفه. لكن الدافع الأول لي يمكن أن يكون كما هو مذكور أعلاه."
angry,جرّني سائق آخر واضطررت إلى الاصطدام بالمكابح بسرعة. يا له من أخرق! إنهم لا يهتمون بأي شخص سوى أنفسهم. كان من الممكن أن أتحطم.,ربما يمر بيوم سيئ وقد ضاع في التفكير ولم ينتبه.
angry,لاحظ ترافيس أن زوجته لم تساعده بالمنزل لمدة أسبوع. هل هي حتى تهتم؟ إنها تعرف أنني سأقوم بالتنظيف لذا فهي تسيء إلى لطفتي!,جرب وانظر إلى الطرق الأخرى التي تدعمك بها. ربما تضفي قيمة على العلاقة بطرق أخرى.
angry,لاحظ ترافيس أن زوجته لم تساعده بالمنزل لمدة أسبوع. هل هي حتى تهتم؟ إنها تعرف أنني سأقوم بالتنظيف لذا فهي تسيء إلى لطفتي!,ربما تكون متعبة من العمل أو أنها تشعر بالإحباط فقط. دعني أتحدث معها قبل القفز إلى الاستنتاجات
angry,لاحظ ترافيس أن زوجته لم تساعده بالمنزل لمدة أسبوع. هل هي حتى تهتم؟ إنها تعرف أنني سأقوم بالتنظيف لذا فهي تسيء إلى لطفتي!,"قد يكون هناك العديد من الأسباب الأخرى للنظر فيها. ربما يكون لدى شريكك مخاوف أخرى أو يعاني من الاكتئاب. ربما تحتاج إلى القليل من الدعم أو اللطف. ربما جرب هذا النهج أولا. لاحظي ما إذا كانت بخير وما إذا كان هناك أي شيء يقلقها. إذا كانت سعيدة ، فمن المرجح أن تساعد وتكون أكثر تقبلاً لسؤالها بلطف عما إذا كانت ستساعدها أكثر من ذلك بقليل. ربما كنت مركزة جدًا على عيوبها لدرجة أنك تنسى عيوبك !!"
sadness,ريجينا مدعوة لحفلة عيد ميلاد من قبل أحد معارفها. لن أعرف أي شخص في هذه الحفلة وسأبدو في غير محله.,"حتى لو لم أكن أعرف الكثير من الأشخاص في الحفلة ، يمكنني التعرف على أشخاص جدد."
sadness,ريجينا مدعوة لحفلة عيد ميلاد من قبل أحد معارفها. لن أعرف أي شخص في هذه الحفلة وسأبدو في غير محله.,"الحفلات هي واحدة من الأماكن القليلة التي يشعر فيها الناس بالراحة عند مقابلة الآخرين ، وبالتالي حتى إذا كنت لا تعرف أي شخص ، فمن المحتمل أن ينتهي بك الأمر بمقابلة شخص جديد."
sadness,ريجينا مدعوة لحفلة عيد ميلاد من قبل أحد معارفها. ربما دعتني لأنها شعرت بأنها ملزمة.,"لم يكن عليها أن تدعوني ، إذا فعلت ذلك لأنها أرادتني حقًا هناك."
sadness,ريجينا مدعوة لحفلة عيد ميلاد من قبل أحد معارفها. ربما دعتني لأنها شعرت بأنها ملزمة.,لا أحد يستطيع أن يقول ما وراء دوافع الآخرين (ما لم يقولوا ذلك صراحة) ولذا فإن قضاء الوقت في محاولة اكتشاف ذلك لمجرد الوصول إلى استنتاج ميتافيزيقي يشبه التفكير التمني من أي نوع.
anxious,لاحظ توم وجود فتاة في الحافلة تبحث باستمرار في اتجاهه. هل لدي شيء على وجهي؟ ربما أشم رائحة كريهة أو شيء من هذا القبيل. أحتاج إلى العودة إلى المنزل والاستحمام.,"ربما تنظر الفتاة إلى شيء آخر خلفي ، أو أنها تحدق فقط في أشياءها الخاصة ، أو ربما تكون مهتمة بي."
anxious,لاحظ توم وجود فتاة في الحافلة تبحث باستمرار في اتجاهه. هل لدي شيء على وجهي؟ ربما أشم رائحة كريهة أو شيء من هذا القبيل. أحتاج إلى العودة إلى المنزل والاستحمام.,الفتاة تنظر إليك لأنك لفتت انتباهها للتو
anxious,لا بد لي من عمل عرض تقديمي. سيكون عرضي التقديمي سيئًا وسيعتقد رئيسي في العمل أنني سيئة في وظيفتي. أنا فاشل.,"إذا كان عرض عملك سيئًا ، فسيظل رئيسك سعيدًا لأنك حاولت على الأقل."
anxious,لا بد لي من عمل عرض تقديمي. سيكون عرضي التقديمي سيئًا وسيعتقد رئيسي في العمل أنني سيئة في وظيفتي. أنا فاشل.,أنا الأفضل في العروض التقديمية.
anxious,لا بد لي من عمل عرض تقديمي. سيكون عرضي التقديمي سيئًا وسيعتقد رئيسي في العمل أنني سيئة في وظيفتي. أنا فاشل.,"يجب أن أقدم أفضل عرض تقديمي لإظهار ما يمكنني فعله ، وإذا لم يكن الأمر كذلك ، فسأجربه في وظيفة أخرى"
sadness,"اتصلت بي ابنتي وتطلب مني أن أرسل لها شيئًا. عندما أحاول إجراء محادثة أكثر ، تسرع لتخرج من الهاتف. أطفالي لا يحبونني.","أنت ببساطة لا تعرف ذلك ، لسوء الحظ ، الأطفال ، حتى كبالغين ، لا يفكرون مثل والديهم. من الصعب قبول أن أطفالنا ، ليكونوا أفرادًا ، يجب أن يتعلموا طريقتهم الخاصة في العالم. لن يكون الأمر على طريقة والديهم ، كل ما يمكننا فعله هو غرس الأساسيات والأمل في أن يكون ذلك كافيًا. تحتاج إلى ترك هذا الأمر ، على الأكثر لا يفكر فيه ، لكن ti بالتأكيد لا يعني أنها لا تحبك. ربما كانت مشغولة في ذلك الوقت. بعد كل شيء كنت أنت طلبت المساعدة."
sadness,"اتصلت بي ابنتي وتطلب مني أن أرسل لها شيئًا. عندما أحاول إجراء محادثة أكثر ، تسرع لتخرج من الهاتف. أطفالي لا يحبونني.","ربما كانت في عجلة من أمرها ولم يكن لديها وقت للتحدث ، فقط اتصل بها لاحقًا واسألها ما الأمر."
sadness,"اتصلت بي ابنتي وتطلب مني أن أرسل لها شيئًا. عندما أحاول إجراء محادثة أكثر ، تسرع لتخرج من الهاتف. هناك حقا شيء خاطئ معي. لقد فشلت كأب.","لا حرج عليك على الإطلاق ، كونك أبًا هو أمر تعلم مستمر. إذا كنت تعتقد أنك ارتكبت أخطاء في الماضي ، فافترض أن أطفالك لا يزالون على قيد الحياة ، فأخبرهم وعوضهم عنهم الآن. ومع ذلك ، فقد ارتكبنا جميعًا أخطاء كآباء وأمهات ، فهذا ما تدور حوله الحياة. سامح نفسك ، وأنا متأكد من أن أطفالك سيفعلون ذلك."
sadness,"اتصلت بي ابنتي وتطلب مني أن أرسل لها شيئًا. عندما أحاول إجراء محادثة أكثر ، تسرع لتخرج من الهاتف. هناك حقا شيء خاطئ معي. لقد فشلت كأب.","لا يوجد أحد مثالي ، لقد فعلت الكثير من الأشياء الجيدة لها أيضًا. لقد غفرت لك بالتأكيد كل شيء سيء حدث بينكما. ربما مرت فقط بيوم سيئ ولا تريد أن تتخلص منه ، لذلك لا داعي للشعور بالمسؤولية عن يومها السيئ."
sadness,أشعر بضيق عندما لعبت في الحديقة مع حفيدي. أنا أكبر من أن ألعب معه. لا أستطيع أن أكون مقدم الرعاية له.,"عمرك شيء جيد ، لأنه يأتي مع الحكمة. قد لا تشعر بالقدرة على اللعب معه بالطرق التي قد تكون لديك كشخص أصغر سنًا ، ولكن يمكنك ابتكار أشياء جديدة / مختلفة. أنت بالفعل تهتم."
sadness,أشعر بضيق عندما لعبت في الحديقة مع حفيدي. أنا أكبر من أن ألعب معه. لا أستطيع أن أكون مقدم الرعاية له.,يستمتع حفيده بقضاء الوقت مع الشخص الذي يحبه ويهتم لأمره. جودة النشاط ليست بنفس أهمية مجرد القيام بالأشياء مع شخص ما.
sadness,أشعر بضيق عندما لعبت في الحديقة مع حفيدي. ليس لدي ما أقدمه لعائلتي بعد الآن. أنا عبء.,أنت تقدم لعائلتك شخصيتك وصداقتك وحبك ورعايتك. أين العبء في ذلك؟
sadness,أشعر بضيق عندما لعبت في الحديقة مع حفيدي. ليس لدي ما أقدمه لعائلتي بعد الآن. أنا عبء.,"لقد طلب منك على وجه التحديد أن تلعب معه لسبب ما ، يمكن للجميع أن يكون في مكانك الآن ، لماذا أنت حينها."
sadness,الذهاب إلى حفل زفاف ابن عمي. لن اتزوج ابدا,"أنا فقط لم أجد شريكي بعد ، إنها هناك."
sadness,الذهاب إلى حفل زفاف ابن عمي. لن اتزوج ابدا,"أنا وحدي الآن ، لكن يمكنني استخدام هذا الوقت لاستكشاف الهوايات وتحسين نفسي ، لذلك عندما أقابل شخصًا مناسبًا ، سأكون قادرًا على مشاركة كل هذه الذكريات والتجارب السعيدة."
sadness,الذهاب إلى حفل زفاف ابن عمي. سأعيش حياة حزينة وسأكون وحدي طوال حياتي.,إن وجود شريك حياة ليس بالضرورة معنى الحياة الكاملة.
sadness,الذهاب إلى حفل زفاف ابن عمي. سأعيش حياة حزينة وسأكون وحدي طوال حياتي.,"قد أكون حزينًا الآن ، ولا بأس بذلك ، لأن الشعور بالحزن والتوتر هو شعور صحيح ، لكنني لن أشعر دائمًا بهذه الطريقة. كل شيء ينتهي؛ حتى الأشياء السيئة."
upset,وبخني مديري مرة أخرى أمس. قال إنه كان يتوقع منتجًا أفضل للعميل. أشعر بالفشل في كل شيء.,"هذا هراء مطلق ، اسمع ، هذا العميل يمكن أن يكون انتقائيًا بشكل خاص بشأن معاييره وبغض النظر عمن يعتني به ، سيجد خطأ ، ليس أنت ، عملك كان دائمًا جيدًا ، لذا لا تهتم حيث يمكننا إجراء محادثة مع العميل واجعله يرى مدى جودة هذه الحالة وتصميمك."
upset,وبخني مديري مرة أخرى أمس. قال إنه كان يتوقع منتجًا أفضل للعميل. أشعر بالفشل في كل شيء.,"ربما يمكنك أن تطلب النصيحة من رئيسك في العمل وتشرح سبب عدم إعجابه بعملك ، ثم يمكنك استخدام ذلك لتحسين عملك."
upset,"وبخني مديري مرة أخرى أمس. قال إنه كان يتوقع منتجًا أفضل للعميل. لطالما كان عملي هو الشيء الوحيد الذي كنت جيدًا فيه ، والآن أفشل في ذلك أيضًا.","لم تفشل ، فهذه هي المرة الأولى التي تقصر فيها في تحقيق ما يريده العميل ، ولكن فقط في نظر العملاء ، نحن سعداء بتقدمك بأفكارك وطاقتك ولن يكون لذلك أي تأثير عليك أو على موقعك هنا."
upset,"وبخني مديري مرة أخرى أمس. قال إنه كان يتوقع منتجًا أفضل للعميل. لطالما كان عملي هو الشيء الوحيد الذي كنت جيدًا فيه ، والآن أفشل في ذلك أيضًا.","يمكنك محاولة العثور على شيء آخر تهتم به ، والتعلم منه ، ومحاولة عدم الاعتماد فقط على وظيفتك للحكم على مهاراتك."
angry,"اتصلت بي زوجتي من حفلة لم أتمكن من حضورها. إنها تعرف مدى شعوري بالسوء لعدم مجيئي إلى الحفلة ، وهي تريدني أن أشعر بسوء أسوأ.","تعرف زوجتي أنني حزين لأنني أردت الذهاب إلى الحفلة ولكن في النهاية لم أتمكن من الحضور ، لذلك قررت الاتصال بي لمعرفة حالتي ، والقلق عليّ وإعلامني بأنها حسنا."
angry,"اتصلت بي زوجتي من حفلة لم أتمكن من حضورها. إنها تعرف مدى شعوري بالسوء لعدم مجيئي إلى الحفلة ، وهي تريدني أن أشعر بسوء أسوأ.","أتمنى أن تقضي وقتًا لطيفًا ، أتمنى أن أكون هناك معها"
anxiety,أعاني من متلازمة أسبرجر ولدي مهارات اجتماعية ضعيفة ونتيجة لذلك أنا حقًا معزول ووحيد. في كل مرة أحاول التنشئة الاجتماعية أذل نفسي.,"في المجتمع الحديث ، يُعرف أسبرجر ، ولو على المستوى الأساسي ، بأعداد أكبر وأكبر من الناس. لا ينبغي أن يوصمك الشرح لأولئك الذين تتواصل معهم بأنك تعرضت لهذا التشخيص بالعار من بقية المجتمع. كثير ، كثير من الناس سوف يفهمون أو يحاولون الفهم. أولئك الذين ليس لديهم مشاكل خاصة بهم ويحتاجون إلى العمل من خلالها ومن الصعب جدًا مساعدتهم عندما يكون لديك أفكارك ومشاعرك الخاصة للتعامل معها. لذلك ، لا تركز كثيرًا على ردود الفعل السلبية التي تواجهها ، بل انظر للتحدث عن مشكلتك مع أولئك الذين هم على استعداد لفهمها."
anxiety,أعاني من متلازمة أسبرجر ولدي مهارات اجتماعية ضعيفة ونتيجة لذلك أنا حقًا معزول ووحيد. في كل مرة أحاول التنشئة الاجتماعية أذل نفسي.,"إذا تم تحليلها بعناية ، فمن الواضح أنه ليس في كل مرة يحدث فيها تفاعل ينتهي بالفشل. من خلال تذكر هؤلاء الأصدقاء والأشخاص الذين قابلتهم طوال حياتي والذين أثروا تجربتي ، يمكنني المضي قدمًا على أمل العثور على أفراد مثل هؤلاء مرة أخرى."
anxiety,أعاني من متلازمة أسبرجر ولدي مهارات اجتماعية ضعيفة ونتيجة لذلك أنا حقًا معزول ووحيد. في كل مرة أحاول التنشئة الاجتماعية أذل نفسي.,"لماذا يجب أن تكون الشخص الذي يستسلم؟ أنت تواجه مشكلاتك وتم تشخيصك بشجاعة. يمكن أن تساعد التنشئة الاجتماعية الأشخاص الذين يعانون من هذه الحالة فقط ، والتحدث عنها مع الآخرين يمكن أن يكون إيجابيًا فقط. بمجرد أن يفهم الأشخاص الذين تتواصل معهم ما تمر به ، سيكونون سعداء بوجودك في صحبتهم وستهدأ مشاعر الإذلال بمرور الوقت."
anxiety,أعاني من متلازمة أسبرجر ولدي مهارات اجتماعية ضعيفة ونتيجة لذلك أنا حقًا معزول ووحيد. في كل مرة أحاول التنشئة الاجتماعية أذل نفسي.,"إذا كان الأمر يتعلق بالأسود والأبيض ، فأنا أفضل الجزء الأبيض لفترة أطول قليلاً ، نظرًا لأن الجزء الأسود سيستمر إلى الأبد. ألا يستحق البقاء على قيد الحياة لبضعة عقود وتجربة ما يجب أن يقدمه العالم (الجيد والسيئ) بدلاً من التحقق مبكرًا والذهاب إلى اللون الأسود إلى الأبد؟"
anxiety,في لقاء تمهيدي في العمل. ماذا لو بدأت في الاحمرار أو التلعثم؟ أريد أن أموت.,من غير المحتمل أن يلاحظ الآخرون. من المحتمل أن يكون أي شخص يلاحظ وضعًا مشابهًا من قبل. لا يجوز لك حتى استحى أو تلعثم.
anxiety,في لقاء تمهيدي في العمل. ماذا لو بدأت في الاحمرار أو التلعثم؟ أريد أن أموت.,"أحتاج أن أتنفس بعمق وأستمر ، إنها مجرد أعصاب ويمكن أن تحدث لكل رفاق."
anxiety,في لقاء تمهيدي في العمل. الجميع سيعتقد أنني غبي ويضحك علي.,إنهم جميعًا متوترون أيضًا وسيكونون داعمين. لدي افكار جيدة يجب سماعها
anxiety,في لقاء تمهيدي في العمل. الجميع سيعتقد أنني غبي ويضحك علي.,"لا يوجد أحد مثالي ، وإذا كان بعض الناس سيصفوني بالغباء بسبب هذا ، فأنا لا أعتقد أنهم مشرقون جدًا!"
scared,"تلقيت فحوصاتي الطبية مرة أخرى لمرض العجز الجزئي. إنه ليس مرضًا عضالًا ولكنه يؤثر على جودة حياتي. كل شخص أعرفه يمضي قدمًا في حياته. الآن تم إلغاء كل خططي ، وأشعر بأنني بلا فائدة على الإطلاق.",ربما يمكنني أن أبدأ صغيرًا وأكتشف المسار الذي أود أن أسلكه في حياتي.
scared,"تلقيت فحوصاتي الطبية مرة أخرى لمرض العجز الجزئي. إنه ليس مرضًا عضالًا ولكنه يؤثر على جودة حياتي. كل شخص أعرفه يمضي قدمًا في حياته. الآن تم إلغاء كل خططي ، وأشعر بأنني بلا فائدة على الإطلاق.","كل شخص لديه نوع من الحالات التي يتعين عليهم التعامل معها وهي ليست نهاية العالم. أحتاج فقط إلى التركيز على ما هو أفضل في حياتي ومحاولة تحقيق أقصى استفادة منها. ربما سأحتاج إلى التكيف قليلاً في بعض الحالات ، لكن بشكل عام يمكنني الاستمتاع بالحياة بنفس القدر."
scared,تلقيت فحوصاتي الطبية مرة أخرى لمرض العجز الجزئي. إنه ليس مرضًا عضالًا ولكنه يؤثر على جودة حياتي. أنا مجرد خيبة أمل حزينة ومكسورة لا تستحق شيئًا.,"أشعر أنني لا أستحق شيئًا ، لكنني سأحاول البحث عما أرغب فيه."
scared,تلقيت فحوصاتي الطبية مرة أخرى لمرض العجز الجزئي. إنه ليس مرضًا عضالًا ولكنه يؤثر على جودة حياتي. أنا مجرد خيبة أمل حزينة ومكسورة لا تستحق شيئًا.,"هذا الشرط لا يعرفني ، إنه مجرد شيء حدث. أنا فقط بحاجة إلى تكييف حياتي من حولها. أريد فقط أن أحيط نفسي بأشخاص إيجابيين لدعمي في هذا الموقف."
guilt,"أبلغ من العمر 27 عامًا تقريبًا ، ولا أعرف كيف أقود السيارة. أنا مرعوب من القيادة بشكل عام وأخشى أن أجري اختبارات الطريق ذات المستوى الأعلى. أشعر أن هناك الكثير من الضغط المجتمعي الذي يجب أن أكون قادرًا على القيادة ، خاصة كوني ذكرًا. أنا أكره القيادة تمامًا وليس لدي أي رغبة في تعلمها بنفسي ، ولكن بسبب ظروف الحياة ، إنها مهارة أشعر أنني يجب أن أتقنها.","أود أن أؤكد أن القيادة ببساطة ليست للجميع ، وليس هناك أي حاجة أو سبب على الإطلاق للشعور بالخجل من عدم القدرة على القيادة. ربما يمكنك تحويل خوفك إلى أهمية الآن ، وأكثر من ذلك في المستقبل ، لتأثير القيادة على تغير المناخ. تخلص من جانب الخوف ، واستخدم الدوافع الخضراء لعدم القيادة ، ولكن الشخص الذي تقنعه أولاً هو نفسك. كما أنها مكلفة للغاية ، ولا يستطيع الكثير من الناس تحمل تكاليف القيادة ، وحتى أقل من ذلك سيتمكنون من ذلك في المستقبل مع جميع السيارات الكهربائية."
guilt,"أبلغ من العمر 27 عامًا تقريبًا ، ولا أعرف كيف أقود السيارة. أنا مرعوب من القيادة بشكل عام وأخشى أن أجري اختبارات الطريق ذات المستوى الأعلى. أشعر أن هناك الكثير من الضغط المجتمعي الذي يجب أن أكون قادرًا على القيادة ، خاصة كوني ذكرًا. أنا أكره القيادة تمامًا وليس لدي أي رغبة في تعلمها بنفسي ، ولكن بسبب ظروف الحياة ، إنها مهارة أشعر أنني يجب أن أتقنها.","في الوقت الحاضر ، ليس هناك حاجة للقيادة حقًا ، يمكنني الوصول إلى أي مكان بأمان وفي معظم الأوقات بشكل مريح أكثر مع تطبيقات الراكب ، بالتأكيد ، إنها باهظة الثمن ، ولكن بشكل عام ، يمكنك قضاء حياتك بأكملها دون قيادة ، والتغيرات الثقافية تحدث بالتأكيد الآن"
sadness,أنا امرأة قريبة من 40 سنة. أرغب في إنجاب الأطفال ولكني لا أستطيع حتى مقابلة الشخص الذي يريد أن يكون معي. لن أنجب أطفالًا أبدًا. لن يحبني أي رجل.,"أنت لا تعرف أبدًا ما قد يجلبه الغد. ركز على تحقيق أقصى استفادة من حياتك الآن ، واعثر على قيمة في ما لديك اليوم. قد يكون الكثير من الناس حسودًا جدًا للحياة التي تعيشها بالفعل."
sadness,أنا امرأة قريبة من 40 سنة. أرغب في إنجاب الأطفال ولكني لا أستطيع حتى مقابلة الشخص الذي يريد أن يكون معي. لن أنجب أطفالًا أبدًا. لن يحبني أي رجل.,"لست بحاجة إلى أن يحب الرجل أن يكون لدي أطفال. إذا كنت أريد أطفالًا ، يمكن للتكنولوجيا الحديثة أن تجعل ذلك حقيقة واقعة. والأهم من ذلك ، قد لا أتمكن من العثور على رجل لأنني أفتقد حب الذات والثقة بالنفس وقد أحتاج إلى العمل على ذلك أولاً."
sadness,أنا امرأة قريبة من 40 سنة. أرغب في إنجاب الأطفال ولكني لا أستطيع حتى مقابلة الشخص الذي يريد أن يكون معي. إذا لم يكن لدي عائلة فهذا يعني أنني شخص لا قيمة له.,"كلنا نضيف قيمة إلى العالم بطريقتنا الفريدة. بدون التزامات الأسرة ، أنت حر في أن تعيش الحياة التي لديك الآن. يمكنك دائمًا التطوع بوقتك لمساعدة الآخرين المثقلين بالأعباء والمساعدة مع أطفال العائلات الأخرى."
sadness,أنا امرأة قريبة من 40 سنة. أرغب في إنجاب الأطفال ولكني لا أستطيع حتى مقابلة الشخص الذي يريد أن يكون معي. إذا لم يكن لدي عائلة فهذا يعني أنني شخص لا قيمة له.,"لدى المجتمع الكثير من التوقعات التي يضعها على الناس مثل الوظيفة التي يجب أن يمتلكها ، والسيارة التي يجب أن تقودها ، ومقدار المال الذي يجب كسبه ومتى يكون لديك عائلة. أستطيع أن أصدق أن عدم تلبية هذه التوقعات يجعلني بلا قيمة أو يمكنني اختيار أن أعيش الحياة كيف أختار. إذا كنت أريد عائلة ، سيكون لدي واحدة. لكن إذا لم أفعل ، فلن يجعلني أقل قيمة من أي شخص آخر."
angry,أشعر بتحسن كبير من الاكتئاب ولكن في بعض الأحيان أفكر بشكل سلبي في السنوات السابقة. كان يجب أن أتحسن منذ 3 سنوات وألا أضيع 3 سنوات كاملة أخرى في البؤس والاكتئاب!,"لا داعي للقلق بشأن ما كان عليه من قبل ، لقد ذهب بالفعل ولن يعود ، الآن معًا سنركز على ما يمكننا فعله هنا والآن"
angry,أشعر بتحسن كبير من الاكتئاب ولكن في بعض الأحيان أفكر بشكل سلبي في السنوات السابقة. كان يجب أن أتحسن منذ 3 سنوات وألا أضيع 3 سنوات كاملة أخرى في البؤس والاكتئاب!,"لقد قلت إنك تشعر بتحسن كبير عما كانت عليه منذ 3 سنوات ، ما هي الأشياء التي يمكنك القيام بها الآن ولا يمكنك مواجهتها بعد ذلك؟ لقد ساعدت هذه السنوات الثلاث في بناء شخص أقوى وأكثر إيجابية."
angry,أشعر بتحسن كبير من الاكتئاب ولكن في بعض الأحيان أفكر بشكل سلبي في السنوات السابقة. كان يجب أن أتحسن منذ 3 سنوات وألا أضيع 3 سنوات كاملة أخرى في البؤس والاكتئاب!,"فكر فيما قد يحدث لك الآن ، الآن يمكن أن تتحسن الأمور"
angry,أشعر بتحسن كبير من الاكتئاب ولكن في بعض الأحيان أفكر بشكل سلبي في السنوات السابقة. كان يجب أن أتحسن منذ 3 سنوات وألا أضيع 3 سنوات كاملة أخرى في البؤس والاكتئاب!,"ابحث عن تجارب جديدة للبناء عليها ، وابدأ في الذهاب إلى صالة الألعاب الرياضية أو المدرسة الليلية أو الانضمام إلى نادٍ. انضم إلى زملائك في العمل في أنشطة ما بعد العمل مثل الذهاب لتناول وجبة أو مشروب أو سينما أو عرض."
anxiety,"الاستلقاء في السرير ، بعد منتصف الليل ، محاولًا النوم والتفكير في عرض تقديمي. سيكون عرض الغد كارثة. سيلاحظ الجميع أنني قلق عندما أقدم العرض.","يشعر الجميع بالتوتر عند التقديم ، لذا فإن أي شخص يلاحظ أنني متوتر سيفهمني ويدعمني."
anxiety,"الاستلقاء في السرير ، بعد منتصف الليل ، محاولًا النوم والتفكير في عرض تقديمي. سيكون عرض الغد كارثة. سيلاحظ الجميع أنني قلق عندما أقدم العرض.",لدى الناس مخاوفهم الخاصة ولن يركزوا على ما تشعر به أو مظهرك وسوف ينتبهون فقط إلى المعلومات التي تقدمها.
anxiety,"الاستلقاء في السرير ، بعد منتصف الليل ، محاولًا النوم والتفكير في عرض تقديمي. سيكون عرض الغد كارثة. سيلاحظ الجميع أنني قلق عندما أقدم العرض.","عليك فقط أن تسحقها ، لقد فعلت هذا من قبل! وبعد العرض ستشعر بالرضا!"
